
a	(thông tục) loại a
stern	nghiêm nghị
stern chase	(hàng hải) sự đuổi sát nhau (tàu thuỷ)
stern chaser	(hàng hải) đại bác ở đuôi tàu
stern foremost	(hàng hải) giật lùi (tàu)
stern-fast	(hàng hải) dây đuôi (buộc đuôi tàu vào bến)
stern-way	(hàng hải) sự giật lùi (của tàu)
sterna	(giải phẫu) xương ức
sternal	(giải phẫu) (thuộc) xương ức
sternmost	(hàng hải) ở tận cuối tàu; ở đằng sau tàu
sternness	tính nghiêm nghị
sternoclavicular	(giải phẫu) (thuộc) ức đòn
sternum	(giải phẫu) xương ức
sternutation	sự hắt hơi
sternutative	làm hắt hơi
sternutatory	làm hắt hơi
sternward	(hàng hải) ở phía cuối tàu
sternwards	(hàng hải) về phía cuối tàu
stertorous	(y học) rống (tiếng thở)
stet	(ngành in) giữ nguyên chữ cũ
stethoscope	(y học) ống nghe (để khám bệnh)
stethoscopic	(y học) (thuộc) ống nghe bệnh; (thuộc) sự nghe bệnh
stethoscopical	(y học) (thuộc) ống nghe bệnh; (thuộc) sự nghe bệnh
stethoscopist	người nghe bệnh
stethoscopy	(y học) phép nghe bệnh
stetson	mũ xtetxon
stevedore	công nhân bốc dỡ
stew	(từ cổ
stew-pan	ot) 
stew-pot	ot) 
steward	người quản lý
stewardess	cô làm phòng (trên tàu thuỷ)
stewardship	cương vị quản lý
stewed	hầm nhừ
sthenic	(y học) cường tim mạch (bệnh)
stibine	(hoá học) Stibin
stibium	(hoá học) Antimon
stick	cái gậy
stick-in-the-mud	bảo thủ; chậm tiến
stick-to-itiveness	(từ Mỹ
stick-up	(từ Mỹ
stick-up collar	cổ cứng
sticker	người chọc; dao chọc (tiết lợn...)
stickiness	tính chất dính; sự dính; tính bầy nhầy
sticking-place	oint) 
sticking-plaster	băng dính
sticking-point	oint) 
stickit	(Ê-cốt) stickit minister người tốt nghiệp không được bổ nhiệm chức mục sư
stickjaw	(từ lóng) kẹo mềm; kẹo sữa; keo caramen (dính răng)
stickle	(từ Mỹ
stickleback	(động vật học) cá gai
stickler	(+ for) người chặt chẽ
stickpin	ghim cài ca vát
sticky	dính; sánh; bầy nhầy
sticky-back	ảnh nhỏ đằng sau có phết hồ
stiff	cứng
stiff-necked	cứng đầu cứng cổ
stiffen	làm cứng
stiffish	hơi cứng
stiffly	cứng đờ
stiffness	sự cứng đờ
stifle	(như) smother
stifle-bone	xương bánh chè (của ngựa)
stifled	bị đau khuỷu chân sau (ngựa)
stifling	ngột ngạt
stigma	vết nhơ
stigmata	vết nhơ
stigmatic	(thực vật học) (thuộc) đốm; có đốm
stigmatise	bêu xấu (ai)
stigmatization	sự bêu xấu
stigmatize	bêu xấu (ai)
stigmatose	(thực vật học) (thuộc) đốm; có đốm
stile	bậc trèo
stiletto	dao găm nhỏ
still	im
still alarm	sự báo hoả bằng tín hiệu (khác với còi)
still birth	sự đẻ ra cái thai chết
still hunt	cuộc săn lén
still life	(hội họa) tĩnh vật
still-born	chết ở trong bụng mẹ
still-fish	câu cá trên thuyền bỏ neo
still-hunt	săn lén
still-walker	lover) 
stillage	ghế (giá) kê đồ đạc
stilling	giá kê thùng rượu
stillion	giá kê thùng rượu
stillness	sự yên lặng
stilly	(thơ ca) yên lặng
stilt	cà kheo
stilt-bird	lover) 
stilt-plover	lover) 
stilted	đi cà kheo
stiltedly	khoa trương kêu mà rỗng
stiltedness	tính khoa trương (văn)
stilton	phó mát xtintơn ((cũng) stilton cheese)
stilus	bút trâm (để viết trên sáp
stimulant	kích thích
stimulate	kích thích
stimulater	người kích thích
stimulating	kích thích
stimulation	sự kích thích
stimulative	(như) stimulating
stimulator	người kích thích
stimuli	sự kích thích; tác dụng kích khích
stimulose	(thực vật học) có lông ngứa
stimulus	sự kích thích; tác dụng kích khích
sting	ngòi
sting-ray	(động vật học) cá đuối gai độc
stingaree	(động vật học) cá đuối gai độc
stinger	người châm
stinginess	tính keo kiệt
stingo	(từ Mỹ
stingy	keo kiệt
stink	mùi hôi thối
stink-ball	bom hơi độc ném tay ((cũng) stinkpot)
stink-bomb	bom hơi thối
stink-horn	(thực vật học) nấm lõ chó
stink-stone	đá vôi thối
stink-trap	bộ phận cản hơi thối (khi mở cống)
stinkard	người hôi; con vật hôi
stinker	người hôi; con vật hôi
stinking	thối tha
stinkpot	bô (đựng phân...)
stint	sự hạn chế cung cấp; sự hạn chế cố gắng
stintingly	hà tiện
stintless	không hạn chế
stipate	(thực vật học) mau
stipe	(sinh vật học) cuống
stipel	(thực vật học) lá kèm con
stipellate	(thực vật học) có lá kèm con
stipend	(thực vật học) lương
stipendiary	được hưởng lương
stipendiary magistrate	quan toà ăn lương (ở các thị xã lớn) ((cũng) stipendiary)
stipes	(như) stipe
stipiform	hình cuống
stipitate	hình cuống
stipites	(như) stipe
stipitiform	hình cuống
stipple	thuật vẽ bằng chấm
stippler	người vẽ bằng chấm
stipular	(thực vật học) (thuộc) lá kèm
stipulate	quy định
stipulation	sự quy định (thành điều khoản); điều quy định (thành điều khoản)
stipulator	người quy định
stipule	(thực vật học) lá kèm
stipuliform	(thực vật học) hình lá kèm
stir	(từ lóng) nhà tù
stir-about	cháo
stirk	(Ê-cốt); đphương bò một tuổi
stirless	không nhúc nhích
stirpiculture	sự nuôi giống
stirps	(pháp lý) tổ tiên (một gia đình)
stirrer	người khuấy động
stirring	sôi nổi
stirrup	bàn đạp (ở yên ngựa)
stirrup-bone	(giải phẫu) xương bàn đạp
stirrup-cup	chén rượu tiễn đưa
stitch	mẫu khâu
stitcher	thợ may
stithy	(từ cổ
stiver	đồng trinh
stoa	cổng vòm (trong kiến trúc cổ Hy lạp)
stoae	cổng vòm (trong kiến trúc cổ Hy lạp)
stoat	(động vật học) chồn ecmin
stock	kho dữ trữ
stock certificate	giấy chứng nhận có cổ phần
stock company	gánh hát nghiệp dư
stock exchange	sở giao dịch chứng khoán
stock lock	khoá nộp (bắt vào cửa)
stock-account	ook) 
stock-book	ook) 
stock-breeder	người làm nghề chăn nuôi
stock-broking	sự mua bán cổ phần chứng khoán
stock-car	toa súc vật; xe chở súc vật
stock-car racing	cuộc đua xe ô tô thường
stock-farm	trại nuôi súc vật
stock-farmer	người nuôi súc vật
stock-in-trade	hàng có sẵn (để bàn); hàng tồn kho
stock-market	thị trường chứng khoán
stock-pot	nồi hầm xương; nồi đựng nước xương hầm
stock-raising	sự chăn nuôi súc vật
stock-still	không nhúc nhích
stockade	hàng rào bằng cọc
stockbroker	người mua bán cổ phần chứng khoán
stockdove	(động vật học) bồ câu rừng ênat
stockfish	cá khô không muối (thường là cá moruy)
stockiness	tầm vóc bè bè chắc nịch
stockinet	vải chun (để may quần áo lót)
stocking	bít tất dài
stockish	ù ì
stockist	người tích trữ hàng
stockjobber	người đầu cơ chứng khoán
stockjobbery	sự đầu cơ chứng khoán
stockjobbing	sự đầu cơ chứng khoán
stockless	không có báng; không có cán
stocklist	bảng giá chứng khoán
stockman	(Uc) người chăn giữ súc vật
stockpile	kho dữ trữ
stockpiling	sự dự trữ (nguyên vật liệu)
stockrider	(Uc) người chăn súc vật thả
stockroom	buồng kho (để hàng hoá)
stocky	bè bè chắc nịch
stockyard	bãi rào chăn nuôi
stodge	ngôn ngữ nhà trường)
stodginess	tính khó tiêu
stodgy	khó tiêu
stoep	(Nam phi) hiên (rộng có bậc
stogie	(từ Mỹ
stogy	(từ Mỹ
stoic	người theo phái khắc kỷ
stoical	kiên cường
stoicism	(triết học) chủ nghĩa xtôic
stoke	đốt (lò); đốt lò của (máy...)
stokehold	buồng lò (của tàu thuỷ chạy hơi nước)
stokehole	buồng lò (của tàu thuỷ chạy hơi nước)
stoker	người đốt lò (ở tàu thuỷ)
stole	(từ cổ
stoled	có choàng khăn
stolen	ăn cắp
stolid	thản nhiên
stolidity	tính thản nhiên
stolon	(thực vật học) thân bò lan
stoma	(thực vật học) lỗ khí
stomach	dạy dày
stomach-ache	sự đau bụng
stomach-pump	(y học) cái thông dạ dày
stomach-tooth	răng nanh sữa hàm dưới
stomachal	(thuộc) dạ dày
stomacher	(sử học) cái yếm
stomachful	dạ dày (đầy)
stomachic	(thuộc) dạ dày
stomachless	không có dạ dày
stomata	(thực vật học) lỗ khí
stomatitis	(y học) viêm miệng
stomatologist	(y học) thầy thuốc chuyên khoa miệng
stomatology	(y học) khoa miệng
stone	đá
stone age	thời kỳ đồ đá
stone man	đài kỷ niệm (làm bằng đá thô)
stone marten	(động vật học) chồn bạc ức (ở nam châu Âu)
stone's cast	ast) 
stone's throw	ast) 
stone-axe	búa đẽo đá
stone-beraker	máy đập đá
stone-blind	hoàn toàn mù
stone-break	reak) 
stone-broke	roke) 
stone-buck	uck) 
stone-cast	ast) 
stone-coal	Antraxit
stone-cold	lạnh như đá
stone-cutter	người đẽo dá
stone-dead	chết cứng
stone-deaf	điếc đặc
stone-fence	(từ Mỹ
stone-fruit	(thực vật học) quả hạch
stone-horse	(từ cổ
stone-jug	(từ lóng) nhà tù
stone-pine	(thực vật học) cây thông lọng (loài thông có ngọn xoè ra thành hình lọng)
stone-pit	mỏ đá
stone-pitch	sự tối đen như mực
stone-race	cuộc chạy thi nhặt đá
stone-saw	cái cưa đá
stonecrop	(thực vật học) cỏ cảnh thiên
stoned	cỏ rải đá
stoneless	không có đá
stonemason	thợ xây đá
stonewall	(thể dục
stonewalling	(thể dục
stonework	nghề thợ nề
stonily	chằm chằm (nhìn); lạnh lùng
stoniness	vẻ chằm chằm (của cái nhìn); tính lạnh lùng
stony	phủ đá
stony-broke	roke) 
stony-hearted	vô tình; chai đá
stood	sự dừng lại
stooge	(từ lóng) kiếm (của anh hề)
stook	(Ê-cốt) đống lúa (thường là 12 lượm) ((cũng) shock)
stool	ghế đẩu
stool-pigeon	chim bồ câu mồi
stoop	(như) stoup
stoop-shouldered	gù lưng tôm (người)
stoopingly	trong tư thế cúi rạp xuống
stop	sự ngừng lại
stop-light	đèn đỏ
stop-off	ver) 
stop-order	lệnh mua (bán) chứng khoán (cho người mua (bán) chứng khoán khi đã đạt giá quy định)
stop-over	ver) 
stop-press	giờ chót
stop-valve	(kỹ thuật) van khoá
stop-watch	đồng hồ bấm giờ (chạy đua)
stopcock	khoá vòi (để điều chỉnh lưu lượng nước hơi trong ống)
stopgap	sự thay thế tạm thời
stoppage	sự ngừng lại
stopper	người làm ngừng
stopple	cái nút
storable	có thể cất giữ được
storage	sự xếp vào kho
storage battery	bộ ắc quy
storage cell	bộ ắc quy
storax	cánh kiến trắng
store	sự có nhiều
store-room	buồng kho
store-ship	tàu lương thực
storehouse	kho; vựa
storekeeper	chủ cửa hàng
storey	tầng
storiated	trình bày đẹp đẽ (trang sách đầu...)
storied	được ca ngợi thành truyện; có liên quan đến truyền thuyết; được truyền thuyết thêu dệt thêm
storiette	câu chuyện nhỏ
stork	(động vật học) con cò
storm	dông tố
storm-beaten	bị tả tơi vì bão táp
storm-belt	one) 
storm-bird	etrel) 
storm-centre	trung tâm bão
storm-cloud	mây mưa dày đặc
storm-cone	hiệu báo bão
storm-door	cửa bảo vệ (đề phòng mưa to gió lớn)
storm-finch	etrel) 
storm-glass	ống xem thời tiết
storm-petrel	etrel) 
storm-proof	chống được bão
storm-sail	(hàng hải) buồm đi bão
storm-signal	hiệu báo bão
storm-tossed	bị gió bão xô đẩy
storm-trooper	quân xung kích (trong lực lượng xung kích của Đức quốc xã)
storm-troops	quân xung kích
storm-wind	gió bão
storm-zone	one) 
stormbound	không đi được vì bão (tàu
stormer	chiến sĩ đột phá
storminess	tính mãnh liệt như bão tố
storming-party	(quân sự) đội quân đột phá
stormless	không có bão
stormy	mãnh liệt như bão tố
stormy petrel	etrel) 
storting	quốc hội Na-uy
story	chuyện
story-book	sách truyện; quyển truyện
story-teller	người viết truyện
stoup	(từ cổ
stout	chắc
stout-hearted	dũng cảm
stout-heartedness	sự dũng cảm; tính can đảm
stoutness	sự chắc
stove	cái lò
stove-pipe	ống khói lò
stove-pipe hat	(thông tục) mũ lụa chóp cao
stow	xếp gọn ghẽ (hàng hoá...)
stow-wood	gỗ chèn (để chèn thùng trong khoang tàu)
stowage	sự xếp hàng hoá dưới tàu
stowaway	người đi tàu thuỷ lậu vé
strabismal	(y học) lác (mắt)
strabismic	(y học) lác (mắt)
strabismus	(y học) tật lác mắt
strabotomy	(y học) thủ thuật chữa lác
strad	(âm nhạc) Viôlông xtrat
straddle	sự đứng giạng chân
stradivarius	(âm nhạc) Viôlông xtrat
strafe	(từ lóng) sự bắn phá
straggle	đi rời rạc
straggler	người đi không theo hàng theo lối
straggling	rời rạc
straggly	rời rạc
straight	thẳng
straight angle	(toán học) góc bẹt
straight eye	khả năng phát hiện chỗ cong
straight face	mặt làm ra vẻ đờ đẫn
straight fight	(chính trị) cuộc đấu tranh trực diện (giữa hai ứng cử viên)
straight-cut	thái dọc (thuốc lá)
straight-edge	thước thẳng
straightaway	thẳng
straighten	làm cho thẳng
straightforward	thành thật
straightforwardness	tính thành thật
straightness	sự thẳng (của một con đường)
straightway	(từ cổ
strain	sự căng
strained	căng thẳng
strainer	dụng cụ để kéo căng
strait	hẹp
strait jacket	áo mặc cho người điên (có hai ống tay thật dài để có thể buộc tay lại)
strait waistcoat	áo mặc cho người điên (có hai ống tay thật dài để có thể buộc tay lại)
strait-laced	nịt chặt (nịt vú...)
straiten	làm hẹp lại
straitjacket	(từ lóng) trói tay trói chân
straitness	(từ cổ
strake	(hàng hải) đường ván (từ mũi đến cuối tàu)
stramineous	có màu như rơm
stramonium	(thực vật học) cây cà độc dược
strand	(thơ ca); (văn học) bờ (biển
stranded	bị mắc cạn (tàu)
strange	lạ
strangely	lạ lùng
strangeness	tính lạ
stranger	người lạ mặt
strangle	bóp cổ
stranglehold	(chính trị) thòng lọng (bóng)
strangulate	cặp
strangulation	(y học) sự cặp
strangurious	(y học) đái són đau
strangury	(y học) chứng đái són đau
strap	dây (da
strap-laid	bẹp (dây thừng)
strap-oil	trận đòn dây da
strap-work	trang trí theo kiểu dây da bện
straphanger	(thông tục) hành khách đứng nắm tay vào dây da (trên xe buýt...
strapless	không có dây buộc
strappado	kiểu tra tấn "cho đi tàu bay" 
strapper	người vạm vỡ
strapping	sự buộc bằng dây da
strass	bột làm ngọc giả
strata	(địa lý
stratagem	mưu
stratal	(thuộc) tầng
strategi	(từ cổ
strategic	(thuộc) chiến lược
strategical	(thuộc) chiến lược
strategics	khoa học chiến lược
